fecha,n1,n2,n3,n4,n5,n6
23/06/2016,9,16,20,21,33,41
18/06/2016,2,10,14,16,27,44
16/06/2016,8,9,15,19,21,49
11/06/2016,17,26,36,37,38,46
9/06/2016,2,9,10,14,25,41
4/06/2016,1,11,14,16,20,41
2/06/2016,27,35,38,45,46,47
28/05/2016,20,28,30,36,41,46
26/05/2016,3,11,13,23,32,47
21/05/2016,7,10,13,15,35,38
19/05/2016,1,30,40,43,45,48
14/05/2016,5,10,12,22,34,35
12/05/2016,18,22,23,25,42,44
7/05/2016,4,5,16,18,21,36
5/05/2016,8,26,42,46,48,49
30/04/2016,4,13,31,41,43,48
28/04/2016,3,10,33,35,43,44
23/04/2016,5,6,8,26,39,40
21/04/2016,1,2,6,25,31,44
16/04/2016,2,3,12,16,32,40
14/04/2016,2,11,27,29,31,48
9/04/2016,1,17,25,29,30,40
7/04/2016,1,11,22,28,38,44
2/04/2016,6,7,15,27,32,40
31/03/2016,1,8,10,12,26,27
26/03/2016,19,21,28,32,43,48
24/03/2016,1,12,13,23,40,43
19/03/2016,1,12,21,35,44,45
17/03/2016,8,11,12,18,36,44
12/03/2016,12,17,23,27,37,40
10/03/2016,3,8,24,31,32,49
5/03/2016,6,7,11,28,38,45
3/03/2016,2,13,14,29,43,45
27/02/2016,5,11,20,32,35,43
25/02/2016,11,13,17,26,34,48
20/02/2016,3,11,17,41,45,47
18/02/2016,3,10,28,35,47,49
13/02/2016,27,30,34,43,46,49
11/02/2016,2,12,18,34,37,46
6/02/2016,6,11,20,26,38,46
4/02/2016,3,5,22,33,39,40
30/01/2016,2,6,11,33,37,46
28/01/2016,6,23,30,33,37,44
23/01/2016,6,10,24,27,32,45
21/01/2016,4,15,17,19,24,37
16/01/2016,12,17,19,27,32,48
14/01/2016,4,11,19,40,46,49
9/01/2016,4,10,12,14,17,47
7/01/2016,15,24,31,38,41,46
2/01/2016,5,6,8,10,29,37
31/12/2015,5,30,33,37,41,42
26/12/2015,12,15,20,41,43,47
24/12/2015,3,18,26,37,39,42
19/12/2015,7,8,15,16,34,35
17/12/2015,11,28,34,38,46,49
12/12/2015,10,22,30,36,45,47
10/12/2015,21,22,32,33,38,42
5/12/2015,2,11,13,14,28,46
3/12/2015,12,20,23,24,44,48
28/11/2015,6,20,22,30,46,47
26/11/2015,1,13,18,19,39,45
21/11/2015,2,6,29,38,40,46
19/11/2015,11,15,25,40,47,48
14/11/2015,13,14,15,32,40,49
12/11/2015,10,23,25,31,40,46
7/11/2015,3,4,20,24,29,49
5/11/2015,1,6,25,35,36,41
31/10/2015,13,16,24,30,38,48
29/10/2015,25,27,33,36,41,45
24/10/2015,1,15,20,33,46,47
22/10/2015,2,3,8,21,27,41
17/10/2015,1,2,11,21,22,44
15/10/2015,1,7,21,27,38,46
10/10/2015,7,11,22,23,26,30
8/10/2015,12,14,21,30,37,40
3/10/2015,1,19,21,28,45,48
1/10/2015,11,17,30,39,45,49
26/09/2015,18,19,26,35,46,49
24/09/2015,5,11,19,27,34,46
19/09/2015,2,3,12,16,29,37
17/09/2015,16,17,23,24,39,42
12/09/2015,9,14,19,43,44,48
10/09/2015,11,19,22,26,28,30
5/09/2015,5,17,21,23,42,46
3/09/2015,3,7,15,37,38,46
29/08/2015,1,6,41,47,48,49
27/08/2015,8,13,24,32,39,42
22/08/2015,1,16,25,28,33,38
20/08/2015,3,10,12,23,35,39
15/08/2015,12,19,24,39,40,42
13/08/2015,11,19,25,26,29,30
8/08/2015,3,9,13,15,25,28
6/08/2015,10,14,17,33,39,46
1/08/2015,1,9,16,20,28,31
30/07/2015,4,8,13,19,32,46
25/07/2015,4,6,12,16,25,43
23/07/2015,12,20,28,36,39,45
18/07/2015,1,24,30,41,45,46
16/07/2015,2,3,4,7,21,38
11/07/2015,12,20,22,23,30,44
9/07/2015,6,7,14,15,25,43
4/07/2015,18,19,28,45,46,49
2/07/2015,18,21,32,36,45,46
27/06/2015,1,8,10,16,26,32
25/06/2015,1,2,7,8,11,42
20/06/2015,9,17,21,31,34,41
18/06/2015,11,14,19,24,39,43
13/06/2015,24,37,40,41,43,46
11/06/2015,11,15,21,25,38,44
6/06/2015,3,28,30,31,36,41
4/06/2015,3,10,13,30,33,47
30/05/2015,17,20,27,29,35,40
28/05/2015,16,36,41,47,48,49
23/05/2015,2,4,6,31,39,42
21/05/2015,8,9,18,30,33,49
16/05/2015,2,18,20,35,43,44
14/05/2015,3,8,12,22,29,49
9/05/2015,6,20,30,36,41,49
7/05/2015,9,11,14,35,45,47
2/05/2015,7,13,36,39,48,49
30/04/2015,1,8,10,32,38,40
25/04/2015,3,29,33,43,47,48
23/04/2015,2,14,16,23,31,49
18/04/2015,4,6,17,18,36,38
16/04/2015,7,31,32,37,38,47
11/04/2015,9,23,24,28,35,41
9/04/2015,4,8,13,16,39,46
4/04/2015,11,15,16,21,27,33
2/04/2015,5,14,18,30,46,48
28/03/2015,1,2,7,17,38,49
26/03/2015,11,23,35,38,46,49
21/03/2015,4,5,11,23,40,44
19/03/2015,1,11,15,23,27,30
14/03/2015,8,9,32,34,39,47
12/03/2015,18,19,30,34,43,45
7/03/2015,1,8,9,20,43,45
5/03/2015,2,5,21,24,28,44
28/02/2015,7,8,22,23,30,48
26/02/2015,5,18,20,22,30,37
21/02/2015,9,12,14,24,37,40
19/02/2015,11,13,20,24,35,38
14/02/2015,1,4,12,33,44,47
12/02/2015,13,29,35,37,41,49
7/02/2015,12,21,28,30,38,42
5/02/2015,4,7,32,34,46,49
31/01/2015,8,13,23,38,42,48
29/01/2015,6,11,12,25,31,43
24/01/2015,7,14,16,36,37,47
22/01/2015,14,18,20,25,38,44
17/01/2015,13,20,22,29,30,48
15/01/2015,4,12,13,24,35,43
10/01/2015,18,27,37,41,42,49
8/01/2015,2,3,10,38,40,43
3/01/2015,1,21,22,25,28,30
1/01/2015,11,16,23,32,34,49
27/12/2014,1,10,21,23,33,47
25/12/2014,6,30,32,37,39,44
20/12/2014,12,20,22,26,34,40
18/12/2014,8,18,31,36,41,43
13/12/2014,1,25,27,36,39,42
11/12/2014,2,16,36,38,44,49
6/12/2014,3,10,11,15,21,37
4/12/2014,9,18,22,23,34,35
29/11/2014,2,8,25,29,32,37
27/11/2014,2,8,22,33,37,42
22/11/2014,8,9,10,25,26,31
20/11/2014,9,28,31,36,43,46
15/11/2014,2,11,30,42,48,49
13/11/2014,2,3,31,32,34,39
8/11/2014,4,17,32,33,35,37
6/11/2014,3,5,18,22,25,30
1/11/2014,20,26,33,38,40,48
30/10/2014,10,22,28,34,39,41
25/10/2014,8,15,23,35,36,37
23/10/2014,4,15,22,30,32,41
18/10/2014,25,26,28,30,31,40
16/10/2014,15,24,29,31,36,41
11/10/2014,5,8,30,34,39,41
9/10/2014,4,7,14,38,39,42
4/10/2014,10,11,24,28,30,39
2/10/2014,17,24,29,31,33,43
27/09/2014,1,10,13,14,18,24
25/09/2014,8,12,18,37,47,49
20/09/2014,8,14,24,28,33,49
18/09/2014,5,17,24,26,30,44
13/09/2014,3,12,13,18,38,44
11/09/2014,2,5,7,9,20,24
6/09/2014,2,12,22,31,33,44
4/09/2014,17,23,29,30,31,37
30/08/2014,9,12,19,24,32,40
28/08/2014,23,27,30,37,39,46
23/08/2014,3,18,27,28,32,45
21/08/2014,2,6,8,21,26,43
16/08/2014,7,19,38,41,43,46
14/08/2014,16,19,25,26,33,46
9/08/2014,2,4,8,22,24,39
7/08/2014,16,20,28,36,40,44
2/08/2014,2,32,37,44,45,49
31/07/2014,2,18,40,42,43,46
26/07/2014,2,6,9,16,17,45
24/07/2014,10,21,26,33,34,47
19/07/2014,3,12,21,37,42,47
17/07/2014,4,18,23,26,28,37
12/07/2014,9,11,12,20,27,43
10/07/2014,11,17,18,29,38,40
5/07/2014,3,6,14,41,43,45
3/07/2014,1,6,7,15,35,39
28/06/2014,15,18,30,39,45,46
26/06/2014,5,14,17,41,42,49
21/06/2014,3,6,35,36,39,49
19/06/2014,2,8,9,12,44,47
14/06/2014,5,6,19,40,41,43
12/06/2014,24,30,31,32,43,47
7/06/2014,13,17,19,20,22,29
5/06/2014,10,15,16,19,20,48
31/05/2014,4,12,14,30,42,43
29/05/2014,3,5,12,34,46,49
24/05/2014,21,33,36,38,45,47
22/05/2014,7,13,22,26,36,49
17/05/2014,3,7,33,37,47,49
15/05/2014,3,14,18,23,28,45
10/05/2014,5,15,17,23,33,37
8/05/2014,11,14,22,26,38,44
3/05/2014,4,5,14,16,45,49
1/05/2014,9,23,27,33,38,44
26/04/2014,1,2,9,18,38,48
24/04/2014,3,12,19,26,42,48
19/04/2014,11,17,27,29,40,45
17/04/2014,9,11,14,23,28,47
12/04/2014,4,13,19,22,24,27
10/04/2014,5,6,12,17,24,32
5/04/2014,9,13,30,36,37,45
3/04/2014,13,15,18,22,41,48
29/03/2014,6,14,30,41,43,49
27/03/2014,5,11,22,29,32,37
22/03/2014,7,12,18,27,32,34
20/03/2014,4,7,12,14,15,49
15/03/2014,5,13,14,19,20,37
13/03/2014,3,12,22,23,25,43
8/03/2014,11,20,23,28,31,43
6/03/2014,2,12,27,33,38,41
1/03/2014,2,17,19,20,21,26
27/02/2014,10,29,31,36,38,46
22/02/2014,4,15,25,30,39,44
20/02/2014,1,4,17,27,34,49
15/02/2014,17,31,35,36,48,49
13/02/2014,1,15,18,34,45,46
8/02/2014,4,7,22,29,30,40
6/02/2014,4,23,32,36,37,46
1/02/2014,9,13,27,28,31,34
30/01/2014,2,3,18,33,36,41
25/01/2014,3,6,7,21,34,49
23/01/2014,5,24,34,45,47,49
18/01/2014,1,3,24,27,36,46
16/01/2014,7,9,12,13,29,48
11/01/2014,9,16,27,35,43,46
9/01/2014,13,15,30,32,41,45
4/01/2014,11,13,16,18,43,45
2/01/2014,21,33,35,37,41,42
28/12/2013,1,19,33,38,43,47
26/12/2013,12,25,31,32,36,49
21/12/2013,4,9,37,38,40,43
19/12/2013,16,23,33,38,47,49
14/12/2013,12,16,23,27,28,41
12/12/2013,13,24,28,30,43,44
7/12/2013,12,15,16,19,20,39
5/12/2013,1,2,4,5,26,36
30/11/2013,17,20,28,34,35,45
28/11/2013,12,15,28,37,42,49
23/11/2013,7,12,15,23,39,46
21/11/2013,7,9,34,43,44,47
16/11/2013,1,10,31,32,34,45
14/11/2013,2,9,20,39,42,48
9/11/2013,2,11,27,32,35,40
7/11/2013,28,30,32,33,37,42
2/11/2013,5,7,26,32,44,45
31/10/2013,7,33,35,36,39,40
26/10/2013,8,9,12,20,34,41
24/10/2013,10,22,34,37,38,47
19/10/2013,20,22,29,32,45,48
17/10/2013,2,11,14,21,30,48
12/10/2013,7,13,19,30,33,41
10/10/2013,5,6,40,45,46,48
5/10/2013,6,7,12,23,37,49
3/10/2013,8,17,20,29,35,37
28/09/2013,4,28,29,33,42,47
26/09/2013,20,23,28,29,36,37
21/09/2013,6,10,21,24,33,36
19/09/2013,14,15,30,34,37,48
14/09/2013,11,17,19,34,35,41
12/09/2013,10,24,27,38,45,48
7/09/2013,1,8,14,25,30,36
5/09/2013,7,10,37,45,47,49
31/08/2013,7,30,31,34,35,46
29/08/2013,6,12,33,35,38,45
24/08/2013,3,7,9,11,15,18
22/08/2013,1,3,8,9,29,36
17/08/2013,13,15,20,25,28,49
15/08/2013,1,17,32,37,43,45
10/08/2013,4,12,21,29,35,38
8/08/2013,8,16,22,23,32,48
3/08/2013,1,2,3,7,14,20
1/08/2013,10,21,26,33,40,45
27/07/2013,6,7,23,26,31,49
25/07/2013,8,10,11,23,28,38
20/07/2013,4,22,26,27,31,33
18/07/2013,20,34,35,36,40,45
13/07/2013,1,2,4,17,23,31
11/07/2013,5,26,29,36,38,45
6/07/2013,8,10,14,27,35,36
4/07/2013,4,12,14,16,39,41
29/06/2013,4,9,17,23,34,38
27/06/2013,3,4,19,20,21,36
22/06/2013,1,13,28,30,35,39
20/06/2013,14,18,35,37,46,47
15/06/2013,1,10,30,35,39,44
13/06/2013,11,16,27,41,45,49
8/06/2013,10,17,26,38,39,47
6/06/2013,6,21,30,31,36,39
1/06/2013,6,7,12,18,26,42
30/05/2013,3,10,13,34,38,39
25/05/2013,9,24,30,37,42,49
23/05/2013,3,14,31,36,38,44
18/05/2013,9,16,17,34,44,45
16/05/2013,12,18,24,28,38,48
11/05/2013,9,14,21,25,26,42
9/05/2013,12,15,16,44,45,46
4/05/2013,2,10,12,21,37,40
2/05/2013,8,16,21,32,40,42
27/04/2013,1,6,10,16,23,36
25/04/2013,4,5,21,32,35,47
20/04/2013,4,10,17,22,35,48
18/04/2013,6,22,29,32,38,40
13/04/2013,9,12,14,16,38,46
11/04/2013,4,6,21,26,33,40
6/04/2013,1,16,20,30,38,43
4/04/2013,1,3,9,11,29,31
30/03/2013,1,9,13,24,29,39
28/03/2013,13,15,18,33,39,45
23/03/2013,16,17,31,32,41,42
21/03/2013,7,13,15,27,37,44
16/03/2013,1,7,12,13,15,17
14/03/2013,10,15,24,30,39,45
9/03/2013,5,8,22,24,28,44
7/03/2013,23,25,29,36,37,48
2/03/2013,4,6,7,12,18,39
28/02/2013,14,22,23,26,27,29
23/02/2013,6,16,38,44,45,46
21/02/2013,13,14,17,36,38,41
16/02/2013,4,15,16,22,30,41
14/02/2013,1,2,22,34,35,39
9/02/2013,1,3,15,24,43,44
7/02/2013,2,6,12,24,44,47
2/02/2013,7,8,31,33,34,47
31/01/2013,3,9,13,24,32,49
26/01/2013,10,22,32,35,36,47
24/01/2013,1,16,24,29,31,43
19/01/2013,5,8,25,34,37,44
17/01/2013,1,23,30,41,43,49
12/01/2013,2,3,19,20,29,37
10/01/2013,29,32,34,42,44,46
5/01/2013,1,4,9,11,38,48
3/01/2013,3,15,23,26,34,38
